,Time / Date,Active Time/Date,Area,Description,Device
130,2023-09-04 오전 8:22,2023-09-04 오전 8:22,LP01,Timeout - Deposit position not ready  OK ,LP01
131,2023-09-04 오전 8:22,2023-09-04 오전 8:22,LP01,Timeout - Deposit position not ready  OK ,LP01
134,2023-09-04 오전 8:22,2023-09-04 오전 8:22,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
142,2023-09-04 오전 8:21,2023-09-04 오전 8:19,LP01,Timeout - Deposit position not ready  OK ,LP01
143,2023-09-04 오전 8:21,2023-09-04 오전 8:19,LP01,Timeout - Deposit position not ready  OK ,LP01
168,2023-09-04 오전 8:19,2023-09-04 오전 8:19,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
184,2023-09-04 오전 8:17,2023-09-04 오전 8:17,LP01,Timeout - Deposit position not ready  OK ,LP01
185,2023-09-04 오전 8:17,2023-09-04 오전 8:17,LP01,Timeout - Deposit position not ready  OK ,LP01
186,2023-09-04 오전 8:17,2023-09-04 오전 8:17,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
233,2023-09-04 오전 8:12,2023-09-04 오전 8:11,LP01,System is stopped  OK ,LP01
234,2023-09-04 오전 8:12,2023-09-04 오전 8:11,LP01,System is stopped  OK ,LP01
245,2023-09-04 오전 8:11,2023-09-04 오전 8:11,LP01,Emergency stop from external system  OK ,LP01
258,2023-09-04 오전 8:11,2023-09-04 오전 8:11,LP01,System is stopped Digital Alarm,LP01
259,2023-09-04 오전 8:11,2023-09-04 오전 8:11,LP01,Emergency stop from external system Digital Alarm,LP01
293,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,[Sensor]Light grid activated  OK ,LP01
294,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,[Sensor]Lift head sensor 1 not activated  OK ,LP01
295,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,[Sensor]Lift head sensor 1 not activated  OK ,LP01
296,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
297,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,[Sensor]Light grid activated Digital Alarm,LP01
301,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,in manual from HMI panel  OK ,LP01
302,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,in manual from HMI panel  OK ,LP01
303,2023-09-04 오전 8:07,2023-09-04 오전 8:07,LP01,in manual from HMI panel Digital Alarm,LP01
304,2023-09-04 오전 8:05,2023-09-04 오전 8:05,LP01,Timeout - Deposit position not ready  OK ,LP01
305,2023-09-04 오전 8:05,2023-09-04 오전 8:05,LP01,Timeout - Deposit position not ready  OK ,LP01
306,2023-09-04 오전 8:05,2023-09-04 오전 8:05,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
309,2023-09-04 오전 8:03,2023-09-04 오전 8:03,LP01,Timeout - Deposit position not ready  OK ,LP01
310,2023-09-04 오전 8:03,2023-09-04 오전 8:03,LP01,Timeout - Deposit position not ready  OK ,LP01
311,2023-09-04 오전 8:03,2023-09-04 오전 8:03,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
325,2023-09-04 오전 8:00,2023-09-04 오전 8:00,LP01,Timeout - Deposit position not ready  OK ,LP01
326,2023-09-04 오전 8:00,2023-09-04 오전 8:00,LP01,Timeout - Deposit position not ready  OK ,LP01
327,2023-09-04 오전 8:00,2023-09-04 오전 8:00,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
330,2023-09-04 오전 7:58,2023-09-04 오전 7:57,LP01,Timeout - Deposit position not ready  OK ,LP01
332,2023-09-04 오전 7:57,2023-09-04 오전 7:57,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
333,2023-09-04 오전 7:55,2023-09-04 오전 7:54,LP01,Timeout - Deposit position not ready  OK ,LP01
334,2023-09-04 오전 7:55,2023-09-04 오전 7:54,LP01,Timeout - Deposit position not ready  OK ,LP01
344,2023-09-04 오전 7:54,2023-09-04 오전 7:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
347,2023-09-04 오전 7:53,2023-09-04 오전 7:52,LP01,Timeout - Deposit position not ready  OK ,LP01
348,2023-09-04 오전 7:53,2023-09-04 오전 7:52,LP01,Timeout - Deposit position not ready  OK ,LP01
353,2023-09-04 오전 7:52,2023-09-04 오전 7:52,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
354,2023-09-04 오전 7:51,2023-09-04 오전 7:50,LP01,Timeout - Deposit position not ready  OK ,LP01
355,2023-09-04 오전 7:51,2023-09-04 오전 7:50,LP01,Timeout - Deposit position not ready  OK ,LP01
356,2023-09-04 오전 7:50,2023-09-04 오전 7:50,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
359,2023-09-04 오전 7:50,2023-09-04 오전 7:49,LP01,Timeout - Deposit position not ready  OK ,LP01
360,2023-09-04 오전 7:50,2023-09-04 오전 7:49,LP01,Timeout - Deposit position not ready  OK ,LP01
363,2023-09-04 오전 7:49,2023-09-04 오전 7:49,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
364,2023-09-04 오전 7:47,2023-09-04 오전 7:46,LP01,Timeout - Deposit position not ready  OK ,LP01
365,2023-09-04 오전 7:47,2023-09-04 오전 7:46,LP01,Timeout - Deposit position not ready  OK ,LP01
366,2023-09-04 오전 7:46,2023-09-04 오전 7:46,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
459,2023-09-04 오전 7:25,2023-09-04 오전 7:24,LP01,Timeout - Deposit position not ready  OK ,LP01
460,2023-09-04 오전 7:25,2023-09-04 오전 7:24,LP01,Timeout - Deposit position not ready  OK ,LP01
468,2023-09-04 오전 7:24,2023-09-04 오전 7:24,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
480,2023-09-04 오전 7:22,2023-09-04 오전 7:22,LP01,Timeout - Deposit position not ready  OK ,LP01
481,2023-09-04 오전 7:22,2023-09-04 오전 7:22,LP01,Timeout - Deposit position not ready  OK ,LP01
482,2023-09-04 오전 7:22,2023-09-04 오전 7:22,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
492,2023-09-04 오전 7:20,2023-09-04 오전 7:20,LP01,Timeout - Deposit position not ready  OK ,LP01
493,2023-09-04 오전 7:20,2023-09-04 오전 7:20,LP01,Timeout - Deposit position not ready  OK ,LP01
494,2023-09-04 오전 7:20,2023-09-04 오전 7:20,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
518,2023-09-04 오전 7:16,2023-09-04 오전 7:16,LP01,Zone 01 is stopped. LPF  OK ,LP01
523,2023-09-04 오전 7:16,2023-09-04 오전 7:15,LP01,System is stopped  OK ,LP01
524,2023-09-04 오전 7:16,2023-09-04 오전 7:16,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
539,2023-09-04 오전 7:16,2023-09-04 오전 7:15,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
559,2023-09-04 오전 7:15,2023-09-04 오전 7:15,LP01,System is stopped Digital Alarm,LP01
560,2023-09-04 오전 7:15,2023-09-04 오전 7:15,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
565,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,Vacuum is not turned off  OK ,LP01
566,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,Bellows are inflated  OK ,LP01
567,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,Bellows are inflated  OK ,LP01
569,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,Vacuum is not turned off Digital Alarm,LP01
570,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,Bellows are inflated Digital Alarm,LP01
574,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,in manual from HMI panel  OK ,LP01
575,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,in manual from HMI panel  OK ,LP01
576,2023-09-04 오전 7:14,2023-09-03 오후 11:08,LP01,Time out movement on robot  OK ,LP01
577,2023-09-04 오전 7:14,2023-09-03 오후 11:08,LP01,Timeout - Deposit position not ready  OK ,LP01
578,2023-09-04 오전 7:14,2023-09-04 오전 7:14,LP01,in manual from HMI panel Digital Alarm,LP01
937,2023-09-03 오후 11:08,2023-09-03 오후 11:08,LP01,Time out movement on robot Digital Alarm,LP01
938,2023-09-03 오후 11:08,2023-09-03 오후 11:08,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2272,2023-09-02 오후 10:57,2023-09-02 오후 10:56,LP01,System is stopped  OK ,LP01
2273,2023-09-02 오후 10:57,2023-09-02 오후 10:56,LP01,System is stopped  OK ,LP01
2278,2023-09-02 오후 10:57,2023-09-02 오후 10:56,LP01,Emergency stop from external system  OK ,LP01
2299,2023-09-02 오후 10:56,2023-09-02 오후 10:56,LP01,System is stopped Digital Alarm,LP01
2300,2023-09-02 오후 10:56,2023-09-02 오후 10:56,LP01,Emergency stop from external system Digital Alarm,LP01
3455,2023-09-02 오후 7:43,2023-09-02 오후 7:43,LP01,Zone 01 is stopped. LPF  OK ,LP01
3459,2023-09-02 오후 7:43,2023-09-02 오후 7:42,LP01,System is stopped  OK ,LP01
3460,2023-09-02 오후 7:43,2023-09-02 오후 7:42,LP01,System is stopped  OK ,LP01
3461,2023-09-02 오후 7:43,2023-09-02 오후 7:43,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
3478,2023-09-02 오후 7:43,2023-09-02 오후 7:42,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
3479,2023-09-02 오후 7:43,2023-09-02 오후 7:42,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
3488,2023-09-02 오후 7:42,2023-09-02 오후 7:42,LP01,System is stopped Digital Alarm,LP01
3494,2023-09-02 오후 7:42,2023-09-02 오후 7:42,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
3499,2023-09-02 오후 7:41,2023-09-02 오후 7:41,LP01,Zone 01 is stopped. LPF  OK ,LP01
3500,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,Vacuum is not turned off  OK ,LP01
3501,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,Bellows are inflated  OK ,LP01
3502,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,Bellows are inflated  OK ,LP01
3509,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,System is stopped  OK ,LP01
3510,2023-09-02 오후 7:41,2023-09-02 오후 7:41,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
3524,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
3525,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,[Sensor]Lift head sensor 1 not activated  OK ,LP01
3526,2023-09-02 오후 7:41,2023-09-02 오후 7:40,LP01,[Sensor]Light grid activated  OK ,LP01
3553,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,System is stopped Digital Alarm,LP01
3554,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,Vacuum is not turned off Digital Alarm,LP01
3555,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,Bellows are inflated Digital Alarm,LP01
3556,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
3559,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,[Sensor]Lift head sensor 1 not activated Digital Alarm,LP01
3560,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,[Sensor]Light grid activated Digital Alarm,LP01
3562,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,in manual from HMI panel  OK ,LP01
3563,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,in manual from HMI panel  OK ,LP01
3564,2023-09-02 오후 7:40,2023-09-02 오후 7:39,LP01,Limit of measurement is exceeded on the short light grid (Overhang)  OK ,LP01
3565,2023-09-02 오후 7:40,2023-09-02 오후 7:40,LP01,in manual from HMI panel Digital Alarm,LP01
3570,2023-09-02 오후 7:39,2023-09-02 오후 7:39,LP01,Limit of measurement is exceeded on the short light grid (Overhang) Digital Alarm,LP01
3578,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,Zone 01 is stopped. LPF  OK ,LP01
3579,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,Zone 01 is stopped. LPF  OK ,LP01
3580,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,System is stopped  OK ,LP01
3581,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,System is stopped  OK ,LP01
3582,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
3595,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
3609,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,System is stopped Digital Alarm,LP01
3616,2023-09-02 오후 7:38,2023-09-02 오후 7:38,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
3974,2023-09-02 오후 6:18,2023-09-02 오후 6:18,LP01,Timeout - Deposit position not ready  OK ,LP01
