,Time / Date,Active Time/Date,Area,Description,Device
108,2023-09-04 오전 8:24,2023-09-04 오전 8:24,MSAI01,"Sensor Blocked, No Logical Load Presence                                                                        ",LR15RI11            
113,2023-09-04 오전 8:23,2023-09-04 오전 8:23,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
114,2023-09-04 오전 8:23,2023-09-04 오전 8:23,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML04                
127,2023-09-04 오전 8:23,2023-09-04 오전 8:23,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML04                
146,2023-09-04 오전 8:20,2023-09-04 오전 8:20,MSAI01,"Data Present, No Logical Load Presence                                                                          ",LR15RI11            
162,2023-09-04 오전 8:20,2023-09-04 오전 8:20,MSAI01,Maintenance Level Front Gate Open                                                                               ,ML00                
169,2023-09-04 오전 8:19,2023-09-04 오전 8:19,MSAI01,Order repair timeout                                                                                            ,LV10SH01            
172,2023-09-04 오전 8:18,2023-09-04 오전 8:18,MSAI01,"Data Present, No Logical Load Presence                                                                          ",LR15RI11            
195,2023-09-04 오전 8:16,2023-09-04 오전 8:16,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML04                
209,2023-09-04 오전 8:15,2023-09-04 오전 8:15,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML04                
264,2023-09-04 오전 8:11,2023-09-04 오전 8:11,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
265,2023-09-04 오전 8:11,2023-09-04 오전 8:11,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,EL01LO00            
266,2023-09-04 오전 8:10,2023-09-04 오전 8:10,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML03                
269,2023-09-04 오전 8:10,2023-09-04 오전 8:10,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML03                
414,2023-09-04 오전 7:30,2023-09-04 오전 7:30,MSAI01,"Data Present, No Logical Load Presence                                                                          ",LR15RI11            
419,2023-09-04 오전 7:30,2023-09-04 오전 7:30,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,ER01LO04            
446,2023-09-04 오전 7:26,2023-09-04 오전 7:26,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,ER01LO04            
453,2023-09-04 오전 7:25,2023-09-04 오전 7:25,MSAI01,"Data Present, No Logical Load Presence                                                                          ",LR15RI11            
456,2023-09-04 오전 7:25,2023-09-04 오전 7:25,MSAI01,"Logical Load Presence, No Data Present                                                                          ",ER01LO03            
463,2023-09-04 오전 7:24,2023-09-04 오전 7:24,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,ER01LO04            
488,2023-09-04 오전 7:21,2023-09-04 오전 7:21,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,ER01LO04            
491,2023-09-04 오전 7:20,2023-09-04 오전 7:20,MSAI01,Hall Sensor Error                                                                                               ,LR15RI11            
950,2023-09-03 오후 11:06,2023-09-03 오후 11:06,MSAI01,Hall Sensor Error                                                                                               ,LR13RI12            
1637,2023-09-03 오전 2:02,2023-09-03 오전 2:02,MSAI01,Bin Empty                                                                                                       ,LV10SH01            
6407,2023-09-02 오후 12:06,2023-09-02 오후 12:06,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML02                
6441,2023-09-02 오전 11:58,2023-09-02 오전 11:58,MSAI01,"Drop Location Deep, Front Bin Occupied                                                                          ",LV05SH01            
7224,2023-09-02 오전 7:42,2023-09-02 오전 7:42,MSAI01,"Sensor Blocked, No Logical Load Presence                                                                        ",CL02DS18            
7275,2023-09-02 오전 7:38,2023-09-02 오전 7:38,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
7276,2023-09-02 오전 7:38,2023-09-02 오전 7:38,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,EL01LO00            
7278,2023-09-02 오전 7:38,2023-09-02 오전 7:38,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML01                
7281,2023-09-02 오전 7:38,2023-09-02 오전 7:38,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML01                
8671,2023-09-02 오전 4:06,2023-09-02 오전 3:51,MSAI01,Motor Stalled                                                                                                   ,EL01LO04            
8831,2023-09-02 오전 3:51,2023-09-02 오전 3:51,MSAI01,Motor Stalled                                                                                                   ,EL01LO04            
9265,2023-09-02 오전 2:32,2023-09-02 오전 2:32,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML02                
9278,2023-09-02 오전 2:27,2023-09-02 오전 2:27,MSAI01,Gap between loads too small                                                                                     ,LV06SH01            
9683,2023-09-02 오전 1:29,2023-09-02 오전 1:29,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,LR13RI12            
9707,2023-09-02 오전 1:28,2023-09-02 오전 1:28,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
9708,2023-09-02 오전 1:28,2023-09-02 오전 1:28,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,EL01LO00            
9709,2023-09-02 오전 1:28,2023-09-02 오전 1:28,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML04                
9719,2023-09-02 오전 1:27,2023-09-02 오전 1:27,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML04                
9735,2023-09-02 오전 1:25,2023-09-02 오전 1:25,MSAI01,Z: Over Current                                                                                                 ,LV13SH01            
10032,2023-09-02 오전 12:56,2023-09-02 오전 12:56,MSAI01,Motor Stalled                                                                                                   ,LR02RI12            
10104,2023-09-02 오전 12:49,2023-09-02 오전 12:49,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,LR03RI12            
10174,2023-09-02 오전 12:45,2023-09-02 오전 12:45,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
10175,2023-09-02 오전 12:45,2023-09-02 오전 12:45,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,EL01LO00            
10176,2023-09-02 오전 12:45,2023-09-02 오전 12:45,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML01                
10188,2023-09-02 오전 12:45,2023-09-02 오전 12:45,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML01                
10206,2023-09-02 오전 12:43,2023-09-02 오전 12:43,MSAI01,Front Finger 2 Not Closed                                                                                       ,LV03SH01            
10268,2023-09-02 오전 12:39,2023-09-02 오전 12:39,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,ER01LO00            
10269,2023-09-02 오전 12:39,2023-09-02 오전 12:39,MSAI01,Lift Securing Pin Not in Bracket                                                                                ,EL01LO00            
10272,2023-09-02 오전 12:39,2023-09-02 오전 12:39,MSAI01,Maintenance Level Safety Barrier Tripped                                                                        ,ML03                
10283,2023-09-02 오전 12:38,2023-09-02 오전 12:38,MSAI01,Maintenance Level Rear Gate Open                                                                                ,ML03                
10302,2023-09-02 오전 12:37,2023-09-02 오전 12:37,MSAI01,Load Runtime Fault on Conveyor                                                                                  ,ER01LO03            
