,Time / Date,Active Time/Date,Area,Description,Device
715,2023-09-05 오전 6:07,2023-09-05 오전 6:07,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
740,2023-09-05 오전 6:02,2023-09-05 오전 6:02,RP02,Security Door Open 01 Digital Alarm,P01RP1_U_SIK
741,2023-09-05 오전 6:02,2023-09-05 오전 6:02,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_U_SIK
742,2023-09-05 오전 6:02,2023-09-05 오전 6:02,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
743,2023-09-05 오전 6:02,2023-09-05 오전 6:02,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
753,2023-09-05 오전 5:57,2023-09-05 오전 5:57,RP02,Security Door Open 01 Digital Alarm,P01RP1_U_SIK
754,2023-09-05 오전 5:57,2023-09-05 오전 5:57,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_U_SIK
755,2023-09-05 오전 5:57,2023-09-05 오전 5:57,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
756,2023-09-05 오전 5:57,2023-09-05 오전 5:57,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
856,2023-09-05 오전 5:35,2023-09-05 오전 5:35,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
883,2023-09-05 오전 5:28,2023-09-05 오전 5:28,RP02,Security Door Open 01 Digital Alarm,P01RP1_O_SIK
884,2023-09-05 오전 5:28,2023-09-05 오전 5:28,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
885,2023-09-05 오전 5:28,2023-09-05 오전 5:28,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
888,2023-09-05 오전 5:28,2023-09-05 오전 5:28,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
981,2023-09-05 오전 5:16,2023-09-05 오전 5:16,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
1160,2023-09-05 오전 4:47,2023-09-05 오전 4:47,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2007,2023-09-05 오전 2:39,2023-09-05 오전 2:39,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2111,2023-09-05 오전 2:27,2023-09-05 오전 2:27,RP02,Security Door Open 01 Digital Alarm,P01RP1_U_SIK
2112,2023-09-05 오전 2:27,2023-09-05 오전 2:27,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_U_SIK
2113,2023-09-05 오전 2:27,2023-09-05 오전 2:27,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_O_SIK
2114,2023-09-05 오전 2:27,2023-09-05 오전 2:27,RP02,Emergency Circuit Activated Digital Alarm,P01RP1_LI_SIK
2202,2023-09-05 오전 2:03,2023-09-05 오전 2:03,RP02,[Z Axis] Unit Failure Digital Alarm,P01DA1_DB1
2228,2023-09-05 오전 1:58,2023-09-05 오전 1:58,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
