Time / Date,Area,Description,Device
2023-10-06 오전 9:19,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 9:04,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 8:59,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 8:59,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 8:59,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 8:58,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 8:28,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 8:24,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 8:24,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 8:20,RP02,[Cylinder] Run Time Failure Digital Alarm,P01MA1
2023-10-06 오전 8:09,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 8:05,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 7:38,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 7:04,RP02,Sequence Error Digital Alarm,RP1_SH_APP
2023-10-06 오전 6:26,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 4:54,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 4:50,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 4:40,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 4:38,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 4:30,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 4:03,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 3:37,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 3:33,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 3:32,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 3:29,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 3:26,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 3:20,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 3:17,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 3:13,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 2:48,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 2:46,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 2:32,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 2:30,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 2:25,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:25,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 2:25,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:25,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 2:25,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:24,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 2:22,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:20,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 2:16,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:04,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 2:04,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 1:52,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 1:52,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 1:50,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 1:20,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 1:20,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 1:12,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 1:12,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 1:12,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-06 오전 1:11,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-06 오전 12:14,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 12:10,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-06 오전 12:08,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-06 오전 12:06,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 12:04,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-06 오전 12:02,RP02,Sliding Blade Is Lost Digital Alarm,P01MA1
2023-10-05 오후 11:28,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
2023-10-05 오후 11:27,RP02,No Objects Found In The Given ROI Digital Alarm,P01NA1_CAM
2023-10-05 오후 11:24,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-05 오후 11:21,RP02,[Lift 1 (Belt)] Transmission Failure Digital Alarm,P01PA1_PB1
2023-10-05 오후 10:28,RP02,The Database Is Very Close To Being Full Digital Alarm,P01MFC
2023-10-05 오후 10:26,RP02,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
2023-10-05 오후 10:22,RP02,Timeout Life Bit Digital Alarm,P01NA1_CAM
2023-10-05 오후 10:20,RP02,[Topography Checker] Range Check Does Not Return Any Results Digital Alarm,RP1_LOAD_APP
