Time / Date,Area,Description,Device
2023-11-11 오후 12:28,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오후 12:27,CC04,Jam or sensor fault Digital Alarm,P2521
2023-11-11 오후 12:27,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오후 12:23,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오전 11:15,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-11 오전 10:39,CC04,Fault data without occupation Digital Alarm,P2522
2023-11-11 오전 10:30,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오전 10:29,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오전 10:27,CC04,Fault data without occupation Digital Alarm,P2521
2023-11-11 오전 12:17,CC04,Fault data without occupation Digital Alarm,P2513
2023-11-10 오후 11:02,CC04,Fault occupied without data Digital Alarm,P2609
2023-11-10 오후 11:02,CC04,Fault occupied without data Digital Alarm,P2607
2023-11-10 오후 11:02,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 11:02,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 11:02,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 11:01,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 11:01,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 11:01,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 11:00,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 11:00,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 10:59,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 10:54,CC04,Fault data without occupation Digital Alarm,P2631_Z2
2023-11-10 오후 10:54,CC04,Fault occupied Without data Digital Alarm,P2631_Z3
2023-11-10 오후 10:51,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 10:50,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 10:50,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 10:49,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 10:48,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 10:38,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 10:38,CC04,Fault occupied without data Digital Alarm,P2611
2023-11-10 오후 10:38,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 10:37,CC04,Fault occupied without data Digital Alarm,P2611
2023-11-10 오후 10:37,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 10:36,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 10:21,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 10:11,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 10:11,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 10:11,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 10:08,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 10:08,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 9:58,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 9:21,CC04,Fault occupied Without data Digital Alarm,P2631_Z5
2023-11-10 오후 9:21,CC04,Fault data without occupation Digital Alarm,P2631_Z4
2023-11-10 오후 9:20,CC04,Fault occupied Without data Digital Alarm,P2631_Z5
2023-11-10 오후 9:20,CC04,Fault data without occupation Digital Alarm,P2631_Z4
2023-11-10 오후 9:20,CC04,Fault occupied Without data Digital Alarm,P2631_Z5
2023-11-10 오후 9:19,CC04,Fault occupied Without data Digital Alarm,P2631_Z5
2023-11-10 오후 9:19,CC04,Fault data without occupation Digital Alarm,P2631_Z4
2023-11-10 오후 9:17,CC04,Fault data without occupation Digital Alarm,P2631_Z8
2023-11-10 오후 9:17,CC04,Fault occupied Without data Digital Alarm,P2631_Z9
2023-11-10 오후 9:13,CC04,Fault data without occupation Digital Alarm,P2631_Z8
2023-11-10 오후 9:13,CC04,Fault occupied Without data Digital Alarm,P2631_Z9
2023-11-10 오후 9:10,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 9:10,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 9:09,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 9:03,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:52,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 8:51,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:50,CC04,Fault occupied without data Digital Alarm,P2610
2023-11-10 오후 8:50,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:48,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:24,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:22,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:14,CC04,Fault occupied without data Digital Alarm,P2607
2023-11-10 오후 8:14,CC04,Fault data without occupation Digital Alarm,P2611
2023-11-10 오후 8:13,CC04,Fault occupied without data Digital Alarm,P2609
2023-11-10 오후 8:13,CC04,Jam or sensor fault Digital Alarm,P2609
2023-11-10 오후 8:10,CC04,Fault occupied without data Digital Alarm,P2608
2023-11-10 오후 8:09,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:09,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:07,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:06,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:05,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:04,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 8:03,CC04,Drive reference fault Digital Alarm,P2608
2023-11-10 오후 8:00,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 7:59,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 7:38,CC04,Fault data without occupation Digital Alarm,P2610
2023-11-10 오후 7:31,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 7:29,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 7:27,CC04,Fault data without occupation Digital Alarm,P2609
2023-11-10 오후 6:43,CC04,Fault data without occupation Digital Alarm,P2609
