Time / Date,Area,Description,Device
2023-11-22 오전 9:08,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 9:05,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 9:04,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 9:02,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 9:01,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:57,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:52,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:50,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:49,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:39,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:32,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:31,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:21,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:18,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:13,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 8:12,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 7:54,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 7:37,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 7:35,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 7:33,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 7:31,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-11-22 오전 7:30,LP01,System is stopped Digital Alarm,LP01
2023-11-22 오전 7:30,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-11-22 오전 7:27,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
2023-11-22 오전 3:13,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-11-22 오전 3:13,LP01,System is stopped Digital Alarm,LP01
2023-11-22 오전 3:13,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-11-22 오전 2:00,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-11-22 오전 1:58,LP01,System is stopped Digital Alarm,LP01
2023-11-22 오전 1:58,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-11-22 오전 1:36,LP01,No command-ack is returned from robot Digital Alarm,LP01
2023-11-22 오전 1:35,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-11-22 오전 1:35,LP01,in manual from HMI panel Digital Alarm,LP01
2023-11-22 오전 1:35,LP01,LG has been activated during move with layer - layer dropped Digital Alarm,LP01
2023-11-21 오후 10:59,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
2023-11-21 오후 10:58,LP01,System is stopped Digital Alarm,LP01
2023-11-21 오후 10:58,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
2023-11-21 오후 10:46,LP01,No command-ack is returned from robot Digital Alarm,LP01
2023-11-21 오후 10:46,LP01,[Sensor]Light grid activated Digital Alarm,LP01
2023-11-21 오후 10:46,LP01,in manual from HMI panel Digital Alarm,LP01
2023-11-21 오후 10:45,LP01,Speed at the Vacuum Blower is not at requested level Digital Alarm,LP01
2023-11-21 오후 10:44,LP01,[Robot]LG has been activated during move_Layer dropped Digital Alarm,LP01
2023-11-21 오후 10:18,LP01,System is stopped Digital Alarm,LP01
2023-11-21 오후 10:18,LP01,Emergency stop from external system Digital Alarm,LP01
