Time / Date,Area,Description,Device
2023-11-23 오전 7:23,UL02,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 2,                    
2023-11-23 오전 7:21,UL02,"102111 Internal DSC Error | X 1, Aisle 2",                    
2023-11-23 오전 7:21,UL02,"102211 Internal DSC Error | Y 1, Aisle 2",                    
2023-11-23 오전 7:21,UL02,"102611 Internal DSC Error | Z 2, Aisle 2",                    
2023-11-23 오전 7:21,UL02,"102511 Internal DSC Error | Z 1, Aisle 2",                    
2023-11-23 오전 7:21,UL02,"115500 Encoder Reading Error | LHD 1 Z 1, Aisle 2",                    
2023-11-23 오전 7:21,UL02,101104 Safety Fault: Catching Device has been actuated | Aisle 2,                    
2023-11-23 오전 7:21,UL02,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 2,                    
2023-11-23 오전 7:21,UL02,100119 Safety Fault: Emergency Stop Mobile Panel | Aisle 2,                    
2023-11-23 오전 7:21,UL02,101107 Safety Fault: Emergency Stop Onboard Panel | Aisle 2,                    
2023-11-23 오전 7:21,UL02,100115 Door 1 is open while SRM is operating | Aisle 2,                    
2023-11-23 오전 7:21,UL02,100114 Door 1 Solenoid Lock Not Locking When Expected To | Aisle 2,                    
2023-11-23 오전 7:21,UL02,101132 Safety Fault: A Safety Output has Faulted (Feedback Monitoring) | Aisle 2,                    
2023-11-23 오전 7:21,UL02,"117202 Y fine positioning limit reached | LHD 1 Right Side, Aisle 2",                    
2023-11-23 오전 7:10,UL02,101104 Safety Fault: Catching Device has been actuated | Aisle 2,                    
2023-11-23 오전 6:51,UL02,"117203 Fine Positioning Timeout | LHD 1 Right Side, Aisle 2",                    
