Time / Date,Area,Description,Device
2023-11-24 오전 8:15,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-24 오전 7:39,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-24 오전 5:35,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-24 오전 5:34,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-24 오전 3:42,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-24 오전 3:42,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-24 오전 2:50,UL01, ,                    
2023-11-24 오전 1:43,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-24 오전 1:09,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 11:18,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 10:14,UL01,101109 Front Cabin Door is open while machine operating | Aisle 1,                    
2023-11-23 오후 10:06,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 9:58,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 9:55,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 9:48,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 9:42,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 9:11,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-23 오후 9:01,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-23 오후 8:14,UL01,200108 Maintenance LED on SRM PLC is Active Indicating System Maintenance Required | Aisle 1,                    
2023-11-23 오후 7:20,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
2023-11-23 오후 6:31,UL01,200107 Error LED on SRM PLC is Active Indicating a PLC Error | Aisle 1,                    
