,Time / Date,Area,Description,Device
8,2023-11-10 오후 9:53,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
10,2023-11-10 오후 9:30,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
11,2023-11-10 오후 9:22,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
12,2023-11-10 오후 9:17,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
13,2023-11-10 오후 9:16,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
14,2023-11-10 오후 9:13,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
15,2023-11-10 오후 9:02,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
16,2023-11-10 오후 9:02,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
17,2023-11-10 오후 9:02,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
18,2023-11-10 오후 9:01,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
19,2023-11-10 오후 9:01,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
20,2023-11-10 오후 9:01,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
22,2023-11-10 오후 9:00,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
24,2023-11-10 오후 8:56,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
29,2023-11-10 오후 8:23,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
35,2023-11-10 오후 7:46,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
37,2023-11-10 오후 6:44,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
