,Unnamed: 0,Time / Date,Active Time/Date,Area,Description,Device
72,6868,2023-09-02 오전 10:36,2023-09-02 오전 10:36,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
109,7609,2023-09-02 오전 6:32,2023-09-02 오전 6:32,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
112,7660,2023-09-02 오전 6:25,2023-09-02 오전 6:25,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
115,7704,2023-09-02 오전 6:17,2023-09-02 오전 6:17,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
126,7994,2023-09-02 오전 5:46,2023-09-02 오전 5:46,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
215,8375,2023-09-02 오전 4:57,2023-09-02 오전 4:57,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
218,8394,2023-09-02 오전 4:55,2023-09-02 오전 4:55,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
223,8422,2023-09-02 오전 4:48,2023-09-02 오전 4:48,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
240,8464,2023-09-02 오전 4:37,2023-09-02 오전 4:37,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
244,8468,2023-09-02 오전 4:37,2023-09-02 오전 4:37,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
258,8491,2023-09-02 오전 4:35,2023-09-02 오전 4:35,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
261,8496,2023-09-02 오전 4:35,2023-09-02 오전 4:35,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
276,8528,2023-09-02 오전 4:22,2023-09-02 오전 4:22,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
283,8874,2023-09-02 오전 3:44,2023-09-02 오전 3:44,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
297,8891,2023-09-02 오전 3:42,2023-09-02 오전 3:42,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
300,8894,2023-09-02 오전 3:42,2023-09-02 오전 3:42,RP01,The Target Space Is Occupied Or Not Accessible Digital Alarm,RP1_LOAD_APP
